history_id,seed,history_number,n_records,scenario,query_number,query_id,target_evidence_id,query_sha256,method,routing_vectors_scored,route_ms,total_search_ms,evidence_recalled,oracle_reader_correct,predicted_evidence_id,records_read,raw_vectors_scored,leaf_blocks_read,read_score_ms
n256_seed17_history0,17,0,256,random_keys,6,n256_seed17_history0_q6,234,bcadfccdea0ee6f260f9f747d0510ab155875937b7efb8761171c0a6b22f9dbc,flat_4,16,0.001416,0.006833,1,1,234,64,64,4,0.005417
n256_seed17_history0,17,0,256,random_keys,6,n256_seed17_history0_q6,234,bcadfccdea0ee6f260f9f747d0510ab155875937b7efb8761171c0a6b22f9dbc,tree_beam_1,8,0.006625,0.010291999999999999,0,0,131,16,16,1,0.003667
n256_seed17_history0,17,0,256,random_keys,6,n256_seed17_history0_q6,234,bcadfccdea0ee6f260f9f747d0510ab155875937b7efb8761171c0a6b22f9dbc,tree_beam_2,12,0.006166,0.010124,0,0,109,32,32,2,0.003958
n256_seed17_history0,17,0,256,random_keys,6,n256_seed17_history0_q6,234,bcadfccdea0ee6f260f9f747d0510ab155875937b7efb8761171c0a6b22f9dbc,tree_beam_4,20,0.006375,0.011584,1,1,234,64,64,4,0.005209
n256_seed17_history0,17,0,256,random_keys,7,n256_seed17_history0_q7,177,22f7c08e580a061f6df8512df034928274b30c3be78d148d3d4ac7d02845f7a2,raw_full_scan,0,0.000292,0.008209000000000001,1,1,177,256,256,16,0.007917
n256_seed17_history0,17,0,256,random_keys,7,n256_seed17_history0_q7,177,22f7c08e580a061f6df8512df034928274b30c3be78d148d3d4ac7d02845f7a2,flat_1,16,0.001708,0.005417,1,1,177,16,16,1,0.003709
n256_seed17_history0,17,0,256,random_keys,7,n256_seed17_history0_q7,177,22f7c08e580a061f6df8512df034928274b30c3be78d148d3d4ac7d02845f7a2,flat_2,16,0.001375,0.005375,1,1,177,32,32,2,0.004
n256_seed17_history0,17,0,256,random_keys,7,n256_seed17_history0_q7,177,22f7c08e580a061f6df8512df034928274b30c3be78d148d3d4ac7d02845f7a2,flat_4,16,0.001375,0.0068330000000000005,1,1,177,64,64,4,0.005458
n256_seed17_history0,17,0,256,random_keys,7,n256_seed17_history0_q7,177,22f7c08e580a061f6df8512df034928274b30c3be78d148d3d4ac7d02845f7a2,tree_beam_1,8,0.006666,0.010416,1,1,177,16,16,1,0.00375
n256_seed17_history0,17,0,256,random_keys,7,n256_seed17_history0_q7,177,22f7c08e580a061f6df8512df034928274b30c3be78d148d3d4ac7d02845f7a2,tree_beam_2,12,0.006166,0.010083,1,1,177,32,32,2,0.003917
n256_seed17_history0,17,0,256,random_keys,7,n256_seed17_history0_q7,177,22f7c08e580a061f6df8512df034928274b30c3be78d148d3d4ac7d02845f7a2,tree_beam_4,20,0.006459,0.011834,1,1,177,64,64,4,0.005375
n256_seed17_history0,17,0,256,random_keys,8,n256_seed17_history0_q8,180,1579dfe5e33099aab3d521a849b1bc30fb5fa40f471a8a42ebb2de2c334901c7,raw_full_scan,0,0.000292,0.008125,1,1,180,256,256,16,0.007833
n256_seed17_history0,17,0,256,random_keys,8,n256_seed17_history0_q8,180,1579dfe5e33099aab3d521a849b1bc30fb5fa40f471a8a42ebb2de2c334901c7,flat_1,16,0.00175,0.0059169999999999995,0,0,106,16,16,1,0.004167
n256_seed17_history0,17,0,256,random_keys,8,n256_seed17_history0_q8,180,1579dfe5e33099aab3d521a849b1bc30fb5fa40f471a8a42ebb2de2c334901c7,flat_2,16,0.001416,0.005375,0,0,244,32,32,2,0.003959
n256_seed17_history0,17,0,256,random_keys,8,n256_seed17_history0_q8,180,1579dfe5e33099aab3d521a849b1bc30fb5fa40f471a8a42ebb2de2c334901c7,flat_4,16,0.001458,0.006875,1,1,180,64,64,4,0.005417
n256_seed17_history0,17,0,256,random_keys,8,n256_seed17_history0_q8,180,1579dfe5e33099aab3d521a849b1bc30fb5fa40f471a8a42ebb2de2c334901c7,tree_beam_1,8,0.006583,0.010249000000000001,0,0,106,16,16,1,0.003666
n256_seed17_history0,17,0,256,random_keys,8,n256_seed17_history0_q8,180,1579dfe5e33099aab3d521a849b1bc30fb5fa40f471a8a42ebb2de2c334901c7,tree_beam_2,12,0.006167,0.010083,0,0,106,32,32,2,0.003916
n256_seed17_history0,17,0,256,random_keys,8,n256_seed17_history0_q8,180,1579dfe5e33099aab3d521a849b1bc30fb5fa40f471a8a42ebb2de2c334901c7,tree_beam_4,20,0.006583,0.011916,1,1,180,64,64,4,0.005333
n256_seed17_history0,17,0,256,random_keys,9,n256_seed17_history0_q9,253,adf3d5763892668c9e5eb8adf5605f2137b317d1b5a4bac8c45d6d29b0fbaca4,raw_full_scan,0,0.00025,0.008375,1,1,253,256,256,16,0.008125
n256_seed17_history0,17,0,256,random_keys,9,n256_seed17_history0_q9,253,adf3d5763892668c9e5eb8adf5605f2137b317d1b5a4bac8c45d6d29b0fbaca4,flat_1,16,0.001875,0.005916,1,1,253,16,16,1,0.004041
n256_seed17_history0,17,0,256,random_keys,9,n256_seed17_history0_q9,253,adf3d5763892668c9e5eb8adf5605f2137b317d1b5a4bac8c45d6d29b0fbaca4,flat_2,16,0.001458,0.0055,1,1,253,32,32,2,0.004042
n256_seed17_history0,17,0,256,random_keys,9,n256_seed17_history0_q9,253,adf3d5763892668c9e5eb8adf5605f2137b317d1b5a4bac8c45d6d29b0fbaca4,flat_4,16,0.001584,0.007084,1,1,253,64,64,4,0.0055
n256_seed17_history0,17,0,256,random_keys,9,n256_seed17_history0_q9,253,adf3d5763892668c9e5eb8adf5605f2137b317d1b5a4bac8c45d6d29b0fbaca4,tree_beam_1,8,0.006709,0.010417,1,1,253,16,16,1,0.003708
n256_seed17_history0,17,0,256,random_keys,9,n256_seed17_history0_q9,253,adf3d5763892668c9e5eb8adf5605f2137b317d1b5a4bac8c45d6d29b0fbaca4,tree_beam_2,12,0.006417,0.010333,1,1,253,32,32,2,0.003916
n256_seed17_history0,17,0,256,random_keys,9,n256_seed17_history0_q9,253,adf3d5763892668c9e5eb8adf5605f2137b317d1b5a4bac8c45d6d29b0fbaca4,tree_beam_4,20,0.014417,0.02,1,1,253,64,64,4,0.005583
n256_seed17_history0,17,0,256,random_keys,10,n256_seed17_history0_q10,131,727baf44b697db96f3d478cc3896a5b6fc7a6425d04b57747556fbcdbc53e6d3,raw_full_scan,0,0.000292,0.008167,1,1,131,256,256,16,0.007875
n256_seed17_history0,17,0,256,random_keys,10,n256_seed17_history0_q10,131,727baf44b697db96f3d478cc3896a5b6fc7a6425d04b57747556fbcdbc53e6d3,flat_1,16,0.001708,0.0055,0,0,148,16,16,1,0.003792
n256_seed17_history0,17,0,256,random_keys,10,n256_seed17_history0_q10,131,727baf44b697db96f3d478cc3896a5b6fc7a6425d04b57747556fbcdbc53e6d3,flat_2,16,0.001417,0.005417,1,1,131,32,32,2,0.004
n256_seed17_history0,17,0,256,random_keys,10,n256_seed17_history0_q10,131,727baf44b697db96f3d478cc3896a5b6fc7a6425d04b57747556fbcdbc53e6d3,flat_4,16,0.001417,0.006791999999999999,1,1,131,64,64,4,0.005375
n256_seed17_history0,17,0,256,random_keys,10,n256_seed17_history0_q10,131,727baf44b697db96f3d478cc3896a5b6fc7a6425d04b57747556fbcdbc53e6d3,tree_beam_1,8,0.006584,0.010251,0,0,148,16,16,1,0.003667
n256_seed17_history0,17,0,256,random_keys,10,n256_seed17_history0_q10,131,727baf44b697db96f3d478cc3896a5b6fc7a6425d04b57747556fbcdbc53e6d3,tree_beam_2,12,0.006167,0.010041999999999999,1,1,131,32,32,2,0.003875
n256_seed17_history0,17,0,256,random_keys,10,n256_seed17_history0_q10,131,727baf44b697db96f3d478cc3896a5b6fc7a6425d04b57747556fbcdbc53e6d3,tree_beam_4,20,0.006333,0.011583,1,1,131,64,64,4,0.00525
n256_seed17_history0,17,0,256,random_keys,11,n256_seed17_history0_q11,107,e42d2839b6ac7b927bfbba5a1d83fb2dd33ca33ad60ca46630b50b2050f65b89,raw_full_scan,0,0.000334,0.008459,1,1,107,256,256,16,0.008125
