n_records,scenario,method,queries,independent_histories,evidence_recalled_mean,oracle_reader_correct_mean,routing_vectors_scored_mean,records_read_mean,raw_vectors_scored_mean,leaf_blocks_read_mean,route_ms_mean,read_score_ms_mean,total_search_ms_mean,total_search_ms_median
4096,topic_grouped,raw_full_scan,180,9,1.0,1.0,0.0,4096.0,4096.0,256.0,0.0004068722222222222,0.05498115555555556,0.055388027777777765,0.055146
4096,topic_grouped,flat_1,180,9,0.38333333333333336,0.38333333333333336,256.0,16.0,16.0,1.0,0.009095611111111112,0.005171522222222221,0.014267133333333333,0.014188
4096,topic_grouped,flat_2,180,9,0.5333333333333333,0.5333333333333333,256.0,32.0,32.0,2.0,0.006356249999999999,0.0053573611111111105,0.011713611111111109,0.0117915
4096,topic_grouped,flat_4,180,9,0.7277777777777777,0.7277777777777777,256.0,64.0,64.0,4.0,0.005913861111111111,0.006433011111111111,0.012346872222222222,0.012292
4096,topic_grouped,tree_beam_1,180,9,0.2388888888888889,0.2388888888888889,16.0,16.0,16.0,1.0,0.014115311111111112,0.003979144444444445,0.018094455555555555,0.0177495
4096,topic_grouped,tree_beam_2,180,9,0.4722222222222222,0.4722222222222222,28.0,32.0,32.0,2.0,0.011922905555555554,0.003938866666666666,0.01586177222222222,0.015708
4096,topic_grouped,tree_beam_4,180,9,0.7277777777777777,0.7277777777777777,52.0,64.0,64.0,4.0,0.012541194444444443,0.005293533333333332,0.01783472777777778,0.017625000000000002
4096,topic_shuffled,raw_full_scan,180,9,1.0,1.0,0.0,4096.0,4096.0,256.0,0.0004025166666666667,0.05481243888888888,0.055214955555555556,0.0551875
4096,topic_shuffled,flat_1,180,9,0.05,0.05,256.0,16.0,16.0,1.0,0.010053244444444444,0.005300177777777777,0.015353422222222222,0.01525
4096,topic_shuffled,flat_2,180,9,0.07777777777777778,0.07777777777777778,256.0,32.0,32.0,2.0,0.006542577777777778,0.005365466666666666,0.011908044444444441,0.011916
4096,topic_shuffled,flat_4,180,9,0.12222222222222222,0.12222222222222222,256.0,64.0,64.0,4.0,0.006351616666666667,0.006506394444444444,0.012858011111111109,0.012666
4096,topic_shuffled,tree_beam_1,180,9,0.022222222222222223,0.022222222222222223,16.0,16.0,16.0,1.0,0.013911044444444447,0.0038307888888888895,0.01774183333333333,0.017626
4096,topic_shuffled,tree_beam_2,180,9,0.027777777777777776,0.027777777777777776,28.0,32.0,32.0,2.0,0.011912972222222219,0.003968561111111111,0.015881533333333333,0.0156665
4096,topic_shuffled,tree_beam_4,180,9,0.08888888888888889,0.08888888888888889,52.0,64.0,64.0,4.0,0.012487272222222219,0.005380094444444443,0.017867366666666665,0.017709000000000003
